data,t1,t7,t14
2020-03-15,154,886,12094
2020-03-16,160,0,0
2020-03-17,182,210,211
2020-03-18,239,316,332
2020-03-19,293,420,444
2020-03-20,307,373,382
2020-03-21,328,379,385
2020-03-22,379,453,466
2020-03-23,453,591,630
2020-03-24,645,1613,3663
2020-03-25,865,2720,10304
2020-03-26,1084,1550,14126
2020-03-27,1273,3985,15031
2020-03-28,1556,4927,18850
2020-03-29,1746,3513,6459
2020-03-30,2063,4551,7400
2020-03-31,2259,3886,4903
2020-04-01,2529,4016,4822
2020-04-02,2736,3891,4392
2020-04-03,2980,4013,4429
2020-04-04,3394,4726,5363
2020-04-05,3876,5616,6612
2020-04-06,4200,5786,6621
2020-04-07,4403,5623,6168
2020-04-08,4677,5771,6238
2020-04-09,5087,6307,6875
2020-04-10,5350,6432,6914
