data,pe_zi,cumulat
2020-02-26,1.0,1.0
2020-02-27,0.0,1.0
2020-02-28,2.0,3.0
2020-02-29,0.0,3.0
2020-03-01,0.0,3.0
2020-03-02,0.0,3.0
2020-03-03,1.0,4.0
2020-03-04,2.0,6.0
2020-03-05,1.0,7.0
2020-03-06,2.0,9.0
2020-03-07,4.0,13.0
2020-03-08,2.0,15.0
2020-03-09,2.0,17.0
2020-03-10,12.0,29.0
2020-03-11,18.0,47.0
2020-03-12,12.0,59.0
2020-03-13,36.0,95.0
2020-03-14,28.0,123.0
2020-03-15,16.0,139.0
2020-03-16,29.0,168.0
2020-03-17,49.0,217.0
2020-03-18,43.0,260.0
2020-03-19,17.0,277.0
2020-03-20,31.0,308.0
2020-03-21,59.0,367.0
2020-03-22,66.0,433.0
2020-03-23,143.0,576.0
2020-03-24,186.0,762.0
2020-03-25,144.0,906.0
2020-03-26,123.0,1029.0
2020-03-27,263.0,1292.0
2020-03-28,160.0,1452.0
